Time,Accel-X (g), Accel-Y (g), Accel-Z (g), Gyro-X (d/s), Gyro-Y (d/s), Gyro-Z (d/s)
2026-05-05 16:19:28.960,0.509033,0.779541,-0.028076,-0.061035,-1.464844,-1.037598
2026-05-05 16:19:28.964,0.501221,0.770996,-0.019287,0.000000,-1.525879,-0.610352
2026-05-05 16:19:28.970,0.492188,0.776123,-0.016357,-0.122070,-0.976563,-0.061035
2026-05-05 16:19:28.974,0.485596,0.770264,-0.021484,-0.488281,-0.488281,0.183105
2026-05-05 16:19:28.980,0.480225,0.762207,-0.013916,-0.671387,-0.244141,0.488281
2026-05-05 16:19:28.984,0.484375,0.776611,-0.011719,-0.305176,0.000000,0.793457
2026-05-05 16:19:28.990,0.494873,0.774658,-0.008545,0.244141,0.061035,0.915527
2026-05-05 16:19:28.994,0.496094,0.766846,-0.010254,0.305176,0.488281,1.342773
2026-05-05 16:19:29.000,0.495850,0.770508,-0.007080,-0.549316,1.098633,1.831055
2026-05-05 16:19:29.005,0.508789,0.778564,-0.010498,-1.220703,1.586914,2.014160
2026-05-05 16:19:29.009,0.521240,0.773193,-0.014160,-1.342773,1.647949,2.746582
2026-05-05 16:19:29.015,0.523193,0.780762,-0.011719,-1.220703,1.647949,4.211426
2026-05-05 16:19:29.019,0.519287,0.809570,-0.023926,-0.793457,1.708984,4.699707
2026-05-05 16:19:29.025,0.516602,0.837402,-0.044922,0.000000,1.464844,4.028320
2026-05-05 16:19:29.029,0.514648,0.870361,-0.060059,0.610352,0.854492,2.685547
2026-05-05 16:19:29.035,0.513672,0.901123,-0.085938,1.525879,-0.183105,0.427246
2026-05-05 16:19:29.039,0.537354,0.820801,-0.049561,1.037598,-1.586914,-2.075195
2026-05-05 16:19:29.045,0.570557,0.825684,-0.010498,-2.258301,-0.854492,-1.464844
2026-05-05 16:19:29.049,0.601807,0.850586,-0.035156,-1.403809,0.183105,-1.464844
2026-05-05 16:19:29.055,0.563965,0.864990,-0.046143,0.000000,-1.464844,-2.014160
2026-05-05 16:19:29.059,0.512939,0.798096,-0.030762,0.976563,-2.868652,-2.502441
2026-05-05 16:19:29.065,0.503662,0.792480,-0.004150,-1.159668,-1.098633,-2.197266
2026-05-05 16:19:29.069,0.542236,0.794678,0.040527,-2.502441,2.624512,-2.380371
2026-05-05 16:19:29.075,0.563232,0.800781,-0.010498,-3.112793,3.662109,-1.403809
2026-05-05 16:19:29.079,0.492676,0.822754,-0.044922,-0.610352,1.037598,-1.037598
2026-05-05 16:19:29.085,0.464355,0.780762,-0.017090,-0.061035,0.244141,-1.892090
2026-05-05 16:19:29.089,0.494141,0.799805,-0.026123,-1.464844,1.037598,-1.770020
2026-05-05 16:19:29.095,0.516602,0.809814,-0.035645,-0.854492,0.366211,-2.380371
2026-05-05 16:19:29.099,0.505615,0.787842,-0.032227,0.488281,-0.732422,-2.746582
2026-05-05 16:19:29.105,0.486816,0.792480,-0.044434,0.000000,-1.037598,-2.258301
2026-05-05 16:19:29.109,0.488037,0.797607,-0.048096,-0.061035,-1.342773,-2.502441
2026-05-05 16:19:29.115,0.490723,0.785400,-0.034424,0.488281,-2.136230,-2.990723
2026-05-05 16:19:29.119,0.491699,0.767090,-0.029297,0.854492,-2.685547,-2.502441
2026-05-05 16:19:29.125,0.490234,0.751221,-0.025391,0.793457,-3.051758,-1.708984
2026-05-05 16:19:29.130,0.486572,0.730225,-0.019287,1.098633,-3.173828,-0.671387
2026-05-05 16:19:29.134,0.487061,0.734863,-0.011719,1.159668,-3.417969,1.220703
2026-05-05 16:19:29.140,0.494629,0.781494,-0.021484,2.197266,-3.723145,2.197266
2026-05-05 16:19:29.144,0.498535,0.774170,-0.025879,3.784180,-3.967285,1.953125
2026-05-05 16:19:29.150,0.491699,0.784912,-0.020264,2.990723,-3.784180,2.502441
2026-05-05 16:19:29.154,0.507568,0.790283,-0.021729,1.647949,-3.234863,2.746582
2026-05-05 16:19:29.160,0.527832,0.821533,-0.002686,1.281738,-2.258301,2.197266
2026-05-05 16:19:29.164,0.542725,0.795654,-0.000488,0.549316,-1.220703,2.319336
2026-05-05 16:19:29.170,0.524902,0.814209,0.001221,0.061035,-0.732422,3.112793
2026-05-05 16:19:29.174,0.521240,0.810303,-0.014404,-0.549316,0.305176,2.990723
2026-05-05 16:19:29.180,0.498779,0.804443,-0.017334,0.000000,0.244141,2.746582
2026-05-05 16:19:29.184,0.504639,0.793945,-0.008057,0.000000,0.000000,2.746582
2026-05-05 16:19:29.190,0.520996,0.788086,0.002197,0.122070,0.915527,2.807617
2026-05-05 16:19:29.194,0.517822,0.820313,-0.049072,0.976563,0.061035,3.112793
2026-05-05 16:19:29.200,0.507324,0.792969,-0.019287,1.892090,-0.244141,2.563477
2026-05-05 16:19:29.204,0.526855,0.838379,-0.059082,1.037598,-0.061035,2.685547
2026-05-05 16:19:29.210,0.530518,0.840088,-0.033691,2.197266,-0.915527,1.281738
2026-05-05 16:19:29.214,0.556396,0.861816,-0.047363,1.342773,-0.610352,0.793457
2026-05-05 16:19:29.220,0.524658,0.875977,-0.072266,2.014160,-1.464844,-0.366211
2026-05-05 16:19:29.224,0.521973,0.813232,-0.024414,0.854492,-1.464844,-2.136230
2026-05-05 16:19:29.230,0.528076,0.812256,-0.031494,-0.793457,-0.122070,-1.770020
2026-05-05 16:19:29.234,0.520996,0.796387,-0.026611,-0.061035,-0.366211,-2.197266
2026-05-05 16:19:29.240,0.506348,0.758789,0.000000,1.037598,-0.854492,-1.708984
2026-05-05 16:19:29.244,0.531494,0.676758,0.067871,-1.525879,1.281738,0.854492
2026-05-05 16:19:29.250,0.479736,0.873291,-0.087646,-0.915527,2.319336,2.441406
2026-05-05 16:19:29.255,0.428955,0.772217,-0.062988,3.601074,-1.037598,-1.037598
2026-05-05 16:19:29.259,0.464844,0.753906,-0.008789,1.403809,-1.708984,0.061035
2026-05-05 16:19:29.265,0.549561,0.776367,-0.011230,-0.915527,0.061035,0.549316
2026-05-05 16:19:29.269,0.530762,0.824219,-0.047852,0.976563,0.488281,-0.305176
2026-05-05 16:19:29.275,0.475586,0.813721,-0.060791,1.586914,-0.854492,0.000000
2026-05-05 16:19:29.279,0.489258,0.786377,-0.037354,0.427246,-1.342773,0.061035
2026-05-05 16:19:29.285,0.517334,0.787354,-0.011719,0.183105,-0.549316,-0.793457
2026-05-05 16:19:29.289,0.520020,0.797852,-0.023438,0.366211,-0.427246,-0.427246
2026-05-05 16:19:29.295,0.513428,0.798340,-0.023682,0.671387,-1.220703,0.122070
2026-05-05 16:19:29.299,0.517090,0.778564,-0.014404,0.854492,-0.976563,-0.061035
2026-05-05 16:19:29.305,0.520020,0.783936,-0.014648,0.122070,0.000000,0.427246
2026-05-05 16:19:29.309,0.520752,0.791748,-0.016846,0.061035,0.122070,1.342773
2026-05-05 16:19:29.315,0.520996,0.787598,-0.013672,0.549316,-0.244141,1.831055
2026-05-05 16:19:29.319,0.517578,0.789795,-0.012451,0.488281,0.122070,2.380371
2026-05-05 16:19:29.325,0.518555,0.800293,-0.017578,0.183105,0.732422,2.746582
2026-05-05 16:19:29.329,0.529541,0.804688,-0.025879,0.305176,0.671387,2.929688
2026-05-05 16:19:29.335,0.532227,0.807373,-0.022461,0.366211,0.366211,3.173828
2026-05-05 16:19:29.339,0.524170,0.810791,-0.026611,-0.122070,0.671387,3.234863
2026-05-05 16:19:29.345,0.518555,0.827637,-0.031006,-0.610352,1.220703,2.868652
2026-05-05 16:19:29.349,0.510742,0.829346,-0.036133,-0.305176,1.159668,2.136230
